,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
52,0.520520521,1006384.82,0,236489.1743,0,3822872.88,0,50290.21174,1147634.156,974658.0497,51840.04837,13928.65999,326240.611,507571.2464,1757838.74,436298.8816,524256.4692,1315582.101,20565539.89
53,0.530530531,1027299.173,0,240007.0622,0,3873613.716,0,51038.30235,1164705.755,988429.2208,52611.19353,14135.85537,331093.5939,514218.3626,1768924.077,442789.0332,531122.0939,1391682.069,20711847.51
54,0.540540541,1048213.526,0,243524.9502,0,3924354.553,0,51786.39296,1181777.355,1002200.392,53382.33869,14343.05076,335946.5768,520865.4789,1780009.415,449279.1847,537987.7187,1467782.037,20858155.13
55,0.550550551,1069127.878,0,247042.8382,0,3975095.389,0,52534.48357,1198848.954,1015971.563,54153.48385,14550.24614,340799.5597,527512.5952,1791094.752,455769.3363,544853.3434,1543882.005,21004462.75
56,0.560560561,1090042.231,0,250560.7261,0,4025836.225,0,53282.57418,1215920.553,1029742.734,54924.62901,14757.44152,345652.5426,534159.7115,1802180.089,462259.4879,551718.9681,1619981.973,21150770.36
57,0.570570571,1110956.584,0,254078.6141,0,4076577.062,0,54030.66479,1232992.152,1043513.906,55695.77417,14964.63691,350505.5255,540806.8278,1813265.426,468749.6394,558584.5929,1696081.941,21297077.98
58,0.580580581,1131870.936,0,257596.5021,0,4127317.898,0,54778.7554,1250063.751,1057285.077,56466.91933,15171.83229,355358.5084,547453.944,1824350.764,475239.791,565450.2176,1772181.909,21443385.6
59,0.590590591,1152785.289,0,261114.39,0,4178058.734,0,55526.84601,1267135.35,1071056.248,57238.06449,15379.02768,360211.4913,554101.0603,1835436.101,481729.9426,572315.8424,1848281.877,21589693.21
60,0.600600601,1173699.642,0,264632.278,0,4228799.57,0,56274.93662,1284206.949,1084827.419,58009.20965,15586.22306,365064.4742,560748.1766,1846521.438,488220.0941,579181.4671,1924381.845,21736000.83
61,0.610610611,1193949.899,0,267972.583,0,4276820.535,0,56985.26361,1300416.774,1099263.895,58741.42741,15782.95922,369672.4786,566992.6371,1857047.188,494382.6229,585631.1998,2000481.813,21877991.01
62,0.620620621,1208286.447,0,269731.527,0,4300621.275,0,57359.30892,1308952.574,1119624.847,59126.99999,15886.55692,372098.97,569651.4837,1862589.856,497627.6986,588377.4497,2076581.781,21981534.83
63,0.630630631,1222622.995,0,271490.471,0,4324422.015,0,57733.35422,1317488.373,1139985.8,59512.57257,15990.15461,374525.4615,572310.3302,1868132.525,500872.7744,591123.6996,2152681.749,22085078.65
64,0.640640641,1236959.543,0,273249.4149,0,4348222.755,0,58107.39953,1326024.173,1160346.752,59898.14515,16093.7523,376951.9529,574969.1767,1873675.194,504117.8502,593869.9495,2228781.718,22188622.46
65,0.650650651,1251296.09,0,275008.3589,0,4372023.495,0,58481.44483,1334559.973,1180707.705,60283.71773,16197.34999,379378.4444,577628.0232,1879217.862,507362.926,596616.1994,2304881.686,22292166.28
66,0.660660661,1265632.638,0,276767.3029,0,4395824.235,0,58855.49014,1343095.772,1201068.658,60669.29031,16300.94768,381804.9358,580286.8697,1884760.531,510608.0018,599362.4493,2359723.602,22395710.1
67,0.670670671,1279258.099,0,278526.2469,0,4419624.975,0,59229.53544,1351631.572,1221429.61,61054.86289,16404.54538,384231.4273,582945.7162,1890303.2,513853.0776,602108.6992,2410456.915,22499253.91
68,0.680680681,1291008.399,0,280285.1909,0,4443425.715,0,59603.58075,1360167.371,1241790.563,61440.43547,16508.14307,386657.9187,585604.5627,1895845.868,517098.1533,604854.9491,2461190.227,22602797.73
69,0.690690691,1302758.699,0,282044.1349,0,4467226.455,0,59977.62606,1368703.171,1262151.516,61826.00805,16611.74076,389084.4102,588263.4092,1901388.537,520343.2291,607601.199,2511923.539,22706341.55
70,0.700700701,1314508.999,0,283803.0788,0,4491027.195,0,60351.67136,1377238.971,1282512.468,62211.58063,16715.33845,391510.9016,590922.2557,1906931.206,523588.3049,610347.4489,2562656.851,22809885.36
71,0.710710711,1326259.299,0,285562.0228,0,4514827.935,0,60725.71667,1385774.77,1302873.421,62597.15321,16818.93614,393937.3931,593581.1022,1912473.874,526833.3807,613093.6988,2613390.163,22913429.18
72,0.720720721,1338009.6,0,287320.9668,0,4538628.675,0,61099.76197,1394310.57,1323234.374,62982.72579,16922.53384,396363.8845,596239.9488,1918016.543,530078.4565,615839.9487,2664123.475,23016973
73,0.730730731,1349759.9,0,289079.9108,0,4562429.415,0,61473.80728,1402846.369,1343359.092,63368.29837,17026.13153,398790.376,598898.7953,1923559.212,533323.5323,618586.1986,2714856.787,23120516.82
74,0.740740741,1361510.2,0,290838.8548,0,4586230.155,0,61847.85258,1411382.169,1363350.286,63753.87095,17129.72922,401216.8675,601557.6418,1929101.88,536568.608,621332.4485,2765590.099,23224060.63
75,0.750750751,1373260.5,0,292597.7988,0,4610030.896,0,62221.89789,1419917.968,1383341.479,64139.44353,17233.32691,403643.3589,604216.4883,1934644.549,539813.6838,624078.6984,2816323.411,23327604.45
76,0.760760761,1385010.8,0,294356.7427,0,4633831.636,0,62595.94319,1428453.768,1403332.672,64525.01611,17336.92461,406069.8504,606875.3348,1940187.218,543058.7596,626824.9483,2867056.723,23431148.27
77,0.770770771,1396761.1,0,296115.6867,0,4657632.376,0,62969.9885,1436989.568,1423323.865,64910.58869,17440.5223,408496.3418,609534.1813,1945729.886,546303.8354,629571.1982,2917790.035,23534692.08
78,0.780780781,1408511.401,0,297874.6307,0,4681433.116,0,63344.0338,1445525.367,1443315.058,65296.16128,17544.11999,410922.8333,612193.0278,1951272.555,549548.9112,632317.4481,2968523.347,23638235.9
79,0.790790791,1420261.701,0,299633.5747,0,4705233.856,0,63718.07911,1454061.167,1463306.251,65681.73386,17647.71768,413349.3247,614851.8743,1956815.224,552793.987,635063.698,3019256.659,23741779.72
80,0.800800801,1432012.001,0,301392.5187,0,4729034.596,0,64092.12441,1462596.966,1483297.444,66067.30644,17751.31537,415775.8162,617510.7208,1962357.892,556039.0628,637809.9479,3069989.971,23845323.53
81,0.810810811,1443762.301,0,303151.4627,0,4752792.594,0,64466.16972,1471132.766,1503288.638,66452.87902,17854.91307,418202.3076,620169.5674,1967900.561,559284.1385,640556.1978,3120723.283,23948867.35
82,0.820820821,1455512.601,0,304910.4066,0,4776167.417,0,64840.21502,1479668.565,1523279.831,66838.4516,17958.51076,420628.7991,622828.4139,1973443.23,562529.2143,643302.4477,3171456.595,24052411.17
83,0.830830831,1467262.901,0,306669.3506,0,4799542.239,0,65214.26033,1488204.365,1543271.024,67224.02418,18062.10845,423055.2905,625487.2604,1978985.898,565774.2901,646048.6975,3222189.907,24155954.98
84,0.840840841,1479013.202,0,308428.2946,0,4822917.061,0,65588.30563,1496740.165,1563262.217,67609.59676,18165.70614,425481.782,628146.1069,1984528.567,569019.3659,648794.9474,3272923.219,24259498.8
85,0.850850851,1490763.502,0,310187.2386,0,4846291.883,0,65962.35094,1505275.964,1583253.41,67995.16934,18269.30384,427908.2734,630804.9534,1990071.235,572264.4417,651541.1973,3323656.531,24363042.62
86,0.860860861,1502513.802,0,311946.1826,0,4869666.705,0,66336.39624,1513811.764,1603244.603,68380.74192,18372.90153,430334.7649,633463.7999,1995613.904,575509.5175,654287.4472,3374389.843,24466586.43
87,0.870870871,1514264.102,0,313705.1266,0,4893041.527,0,66710.44155,1522347.563,1623235.796,68766.3145,18476.49922,432761.2563,636122.6464,2001156.573,578754.5932,657033.6971,3425123.156,24570130.25
88,0.880880881,1526014.402,0,315464.0705,0,4916416.349,0,67084.48685,1530883.363,1643226.989,69151.88708,18580.09691,435187.7478,638781.4929,2006699.241,581999.669,659779.947,3475856.468,24673674.07
89,0.890890891,1537764.702,0,317223.0145,0,4939791.171,0,67458.53216,1539419.163,1663218.183,69537.45966,18683.6946,437614.2392,641440.3394,2012241.91,585244.7448,662526.1969,3526589.78,24777217.88
90,0.900900901,1549515.003,0,318981.9585,0,4963165.993,0,67832.57746,1547954.962,1683209.376,69923.03224,18787.2923,440040.7307,644099.1859,2017784.579,588489.8206,665272.4468,3577323.092,24880761.7
91,0.910910911,1561265.303,0,320740.9025,0,4986540.815,0,68206.62277,1556490.762,1703200.569,70308.60482,18890.88999,442467.2221,646758.0325,2023327.247,591734.8964,668018.6967,3628056.404,24984305.52
92,0.920920921,1573015.603,0,322499.8465,0,5007997.366,0,68580.66807,1565026.561,1713431.781,70694.1774,18994.48768,444893.7136,649416.879,2032480.632,594979.9722,670764.9466,3678789.716,25103012.46
93,0.930930931,1584765.903,0,324258.7905,0,5028427.526,0,68954.71338,1573562.361,1718440.81,71079.74998,19098.08537,447320.205,652075.7255,2043565.969,598225.048,673511.1965,3729523.028,25229832.6
94,0.940940941,1596516.203,0,326017.7344,0,5048857.686,0,69328.75868,1582098.16,1723449.84,71465.32256,19201.68306,449746.6965,654734.572,2054651.307,601470.1237,676257.4464,3780256.34,25356652.74
